epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.29535,1.31415,2.97377,1.73972,1.24129,0,0.69459,0.65439,0.80232,0.58847,0.68889,0.65145,0.76941,0.53637,0.99628,2.29305,1.08674,1.13289,0,3.30556e-05,3.30556e-05,3.30556e-05
2,3.56834,1.32589,2.92375,1.79047,1.28121,0,0.65363,0.65566,0.75688,0.58346,0.66246,0.66481,0.76456,0.537,0.97909,2.29054,1.10919,1.12742,0,6.55227e-05,6.55227e-05,6.55227e-05
3,4.91028,1.30762,2.95367,1.60777,1.23149,0,0.56236,0.68804,0.75014,0.57535,0.59787,0.68347,0.74071,0.53253,0.98819,2.31705,1.1618,1.13047,0,9.01359e-05,9.01359e-05,9.01359e-05
4,6.26788,1.35364,2.92957,1.71817,1.26276,0,0.57786,0.7122,0.7426,0.5656,0.57178,0.70156,0.74134,0.5255,1.01569,2.35493,1.24388,1.14785,0,8.3657e-05,8.3657e-05,8.3657e-05
5,7.61401,1.28472,2.75266,1.50824,1.22346,0,0.54516,0.70794,0.74512,0.56979,0.5393,0.69849,0.74333,0.52573,1.02496,2.35982,1.24169,1.15378,0,7.1876e-05,7.1876e-05,7.1876e-05
6,8.98208,1.24111,2.74187,1.44767,1.20199,0,0.52583,0.75395,0.74162,0.57518,0.51046,0.74094,0.73854,0.51975,1.02299,2.38432,1.2482,1.15116,0,6.0095e-05,6.0095e-05,6.0095e-05
7,10.3308,1.22561,2.67334,1.25499,1.18484,0,0.53403,0.71545,0.74278,0.58794,0.52205,0.70093,0.74243,0.52582,1.02298,2.38662,1.25399,1.14874,0,4.8314e-05,4.8314e-05,4.8314e-05
8,11.6819,1.16265,2.57746,1.39014,1.1656,0,0.5606,0.66904,0.73902,0.57434,0.54991,0.65745,0.72679,0.51563,1.01579,2.3818,1.25433,1.13946,0,3.6533e-05,3.6533e-05,3.6533e-05
9,13.1727,1.17801,2.69924,1.3431,1.18292,0,0.52421,0.70007,0.7406,0.57299,0.51483,0.68897,0.72825,0.5135,1.01849,2.39493,1.25564,1.13615,0,2.4752e-05,2.4752e-05,2.4752e-05
10,14.5234,1.18254,2.54512,1.30693,1.16831,0,0.53891,0.71089,0.72498,0.55427,0.52475,0.70097,0.71233,0.49669,1.02869,2.3845,1.23884,1.14147,0,1.2971e-05,1.2971e-05,1.2971e-05
