epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.22459,1.23402,1.42326,1.20438,0.80719,0.56386,0.74524,0.60992,0.97309,1.0419,1.13595,3.30556e-05,3.30556e-05,3.30556e-05
2,5.50541,1.23183,1.43401,1.22234,0.65405,0.68646,0.75909,0.61733,0.98409,1.06004,1.13095,6.55227e-05,6.55227e-05,6.55227e-05
3,6.58134,1.21171,1.29701,1.1664,0.64999,0.66413,0.76649,0.63035,0.99556,1.08056,1.13845,9.01359e-05,9.01359e-05,9.01359e-05
4,7.56135,1.27188,1.48056,1.23193,0.58639,0.68327,0.77996,0.62659,1.01613,1.13109,1.13775,8.3657e-05,8.3657e-05,8.3657e-05
5,8.5264,1.17669,1.30353,1.17498,0.72458,0.59474,0.76557,0.61203,1.03026,1.13971,1.14744,7.1876e-05,7.1876e-05,7.1876e-05
6,9.49681,1.17611,1.27822,1.17189,0.69633,0.60881,0.75749,0.60251,1.02759,1.16017,1.15054,6.0095e-05,6.0095e-05,6.0095e-05
7,10.4632,1.13116,1.15229,1.12894,0.69949,0.60901,0.75683,0.59749,1.02628,1.16993,1.15208,4.8314e-05,4.8314e-05,4.8314e-05
8,11.4396,1.11127,1.13727,1.13825,0.70997,0.60635,0.72487,0.56827,1.01783,1.17381,1.14637,3.6533e-05,3.6533e-05,3.6533e-05
9,12.396,1.11587,1.15293,1.14191,0.70474,0.60683,0.70487,0.55287,1.01366,1.18082,1.14453,2.4752e-05,2.4752e-05,2.4752e-05
10,13.3475,1.1366,1.1854,1.14303,0.7083,0.60931,0.72653,0.56516,1.0235,1.16984,1.14937,1.2971e-05,1.2971e-05,1.2971e-05
